,name,username,label,category,post_activity,fan_count,talking_about_count,users_can_post
1105,74864434708,GonzagaBulldogs,Gonzaga Bulldogs,School Sports Team,0.08,77110,219,no
845,1.37E+14,GopherFootball,Minnesota Football,School Sports Team,0.17,87568,6795,yes
1071,2.42E+11,GoranDragicNBA,Goran Dragic,Athlete,0,308227,73,yes
1046,16205404100,govcurams,VCU Athletics,School Sports Team,0.06,43965,568,yes
432,1.67E+14,GraemeMcDowell,Graeme McDowell,Athlete,0.01,153356,69,no
1061,10685374714,gregoden,Greg Oden,Athlete,0,355717,131,yes
897,2.74E+11,GregOlsen88,Greg Olsen,Athlete,0,5281,52,yes
603,1.20E+14,HabitatSkateboards,Habitat Skateboards,Company,0,205039,142,no
1062,1.11E+11,HakimWarrick,Hakim Warrick,Athlete,0,131100,33,no
252,2.56E+11,handicapinternationalfrance,Handicap International France,Non-Governmental Organization (NGO),0.03,84081,1569,no
73,3.58E+11,harobmxbikes,Haro BMX,Product/Service,0.02,104554,2937,yes
245,1.56E+14,HarperCollins,HarperCollins,Publisher,0.18,144843,615,yes
90,1.31E+14,Harrymainfanpage,Harry Main Fan Page,Athlete,0,252985,113,yes
743,80500707044,hartkevin,Kevin Hart,Comedian,0.21,23815498,234694,yes
536,75351851771,hartvillehardware,Hartville Hardware,Hardware Store,0.02,12049,516,yes
848,1.18E+14,HawkeyeFootball,Hawkeye Football,Company,0.12,80406,4425,yes
884,52019791573,hawkeyesports,Iowa Hawkeyes,Sport,0.13,572321,9661,yes
466,4.77E+14,hbarnes40,Harrison Barnes,Athlete,0.01,813425,327,yes
633,1.23E+11,hboboxing,HBO Boxing,TV Show,0.16,2950217,16563,yes
148,22253026387,headtennis,HEAD Tennis,Product/Service,0.02,1439824,12619,yes
647,1.44E+15,heathmoe1,Heath Brinkley,Entrepreneur,0,17630,4,yes
303,87864101244,Herbalife,Herbalife,Health & Wellness Website,0.03,4916271,17183,no
569,1.42E+14,HeroWorldChallenge,Hero World Challenge,Sports Event,0.01,10267,15,yes
831,1.25E+14,hokiesports,Virginia Tech Athletics,School Sports Team,0.13,209307,9691,no
34,52617725769,HollyHolmUFCBantamweightChampion,Holly Holm,Athlete,0.02,1855049,1256,no
320,45872164821,hopesolo,Hope Solo,Athlete,0.01,2049870,937,no
798,51931216313,HoustonTexans,Houston Texans,Sports Team,0.58,2191365,41099,yes
380,1.68E+14,hoziermusic,Hozier,Musician/Band,0.27,1486277,14360,yes
350,1.04E+15,hsbcsport,HSBC Sport,Finance Company,0.01,34523,32,yes
184,53352786534,Hublot,Hublot,Jewelry/Watches,0.17,4477443,41110,yes
296,33772576449,hugo.net,Hugo,Video Game,0,684621,336,no
89,43289940809,Hurley,Hurley,Brand,0,4474591,2222,no
921,3.09E+11,iamandrewhenderson,Andrew Henderson,Athlete,0.07,141380,869,yes
621,37791069588,IAmBiotech,I am Biotech,Nonprofit Organization,0.08,15104,61,yes
979,2.90E+11,iamlauraenever,Laura Enever,Athlete,0,351988,139,yes
493,5.01E+14,IAMMOREOBJ,I AM MORE: OBJ,Show,0.03,7277,13013,yes
394,1.83E+14,ianjamespoulter,Ian James Poulter,Athlete,0.01,126779,4283,yes
1047,1.18E+11,IlliniAthletics,Fighting Illini Athletics,College & University,0.12,122260,1454,no
849,97050354058,IlliniFootball,Fighting Illini Football,School Sports Team,0.05,94400,1440,no
266,7.13E+14,imusics,iMusics,Website,0.03,22495,34,no
42,1.32E+14,indv1,INϟDV,Printing Service,0,727,0,yes
337,1.39E+11,insidedagates,The Goodman League Live/Inside Da Gates,Sports League,0,5013,5,no
657,1.62E+14,InstagramEnglish,Instagram,App Page,0.08,59410202,15355,no
278,3.78E+14,InstitutoNeymarJr,Instituto Neymar Jr,Charity Organization,0.04,731096,1280,no
922,1.39E+14,Inter,Inter,Sports Team,0.28,10632291,292873,no
387,70863392744,IrishLadiesGolf,Irish Ladies Golf,Amateur Sports Team,0.04,3906,215,yes
371,2.27E+14,irishrugby,IrishRugby,Sports Team,0.03,596209,4523,no
591,4.00E+14,ishodwair,Ishod Wair,Athlete,0,233200,89,yes
885,71768358247,ISURedbirds,Illinois State University Athletics,School Sports Team,0.09,31067,3370,yes
45,2.76E+14,IzzyStyleWrestling,Izzy Style School of Wrestling,Coach,0.04,8507,218,yes
381,57120886365,jacknicklaus,Jack Nicklaus,Athlete,0.02,288217,1328,yes
563,1.16E+15,jacksbayclub,Jack's Bay,Beach Resort,0,421,20,yes
818,89095583862,jacksonvillejaguars,Jacksonville Jaguars,Sports Team,0.29,632813,25925,no
48,1.61E+14,jacksonwinkmma,JacksonWink MMA,Gym/Physical Fitness Center,0.14,246564,733,yes
944,1.13E+14,jackwilshere,Jack Wilshere,Athlete,0.01,3997176,1466,no
101,63268333929,Jadakiss,Jadakiss,Musician/Band,0,1302873,757,yes
1007,1.84E+11,JaredDudley619,Jared Dudley,Athlete,0,34152,15,yes
481,1.01E+14,JasonStatham,Jason Statham,Artist,0,53960130,27175,yes
1083,1.25E+11,JeffTeagueNBA,Jeff Teague,Athlete,0,240851,62,yes
1040,55309525099,jermaineoneal,Jermaine O'Neal,Athlete,0,130510,35,yes
192,1.65E+15,jesselingardofficial,Jesse Lingard,Athlete,0.02,912282,12770,no
807,1.16E+11,Jets,New York Jets,Sports Team,0.16,1904537,34436,yes
318,3.36E+14,jharden13,James Harden,Athlete,0.07,1123850,6012,yes
467,1.96E+11,JimmyKimmelLive,Jimmy Kimmel Live,TV Show,0.13,3925486,29195,no
691,1.17E+11,JimmyRollins11,Jimmy Rollins,Athlete,0,279636,76,yes
458,9.37E+14,JimuelPacquiao,Emmanuel Pacquiao Jr.,Athlete,0,38749,36,yes
1003,43651623844,jjredick,J.J. Redick,Athlete,0,259554,92,yes
751,6.24E+14,JManziel2,Johnny Manziel,Athlete,0,371040,207,yes
739,1.93E+14,JoeGordonLevitt,Joseph Gordon-Levitt,Artist,0.07,6131463,8122,no
190,1.52E+15,joehartofficial,Joe Hart,Athlete,0.01,574773,2030,yes
685,1.31E+14,JohnAxford,John Axford,Athlete,0,12501,4,yes
139,6829493713,joinred,(RED),Nonprofit Organization,0.13,3931243,2155,yes
1110,61845835338,JonasJerebko33,Jonas Jerebko,Athlete,0,23310,11,no
2,2.31E+14,Jonbones.Jones,"Jon """"Bones"""" Jones",Athlete,0,2511670,2121,no
361,4.26E+14,jonrahmgolf,Jon Rahm,Athlete,0,9882,36,yes
992,76784747381,JordanHill,Jordan Hill,Athlete,0,293902,75,no
1020,2.17E+14,JordanLeeCrawford,Jordan Crawford,Athlete,0,23107,12,yes
393,4.96E+11,jordanspiethgolf,Jordan Spieth,Athlete,0.04,459818,1152,yes
345,1.06E+15,JPMcManusProAm,JP McManus Pro-Am,Community,0.01,5657,309,yes
529,11465191261,jpmorganchase,JPMorgan Chase & Co.,Finance Company,0.04,342203,2071,no
217,1.24E+14,JuanMataOficial,Juan Mata,Athlete,0.05,9457860,5414,yes
167,3.13E+11,juanmonacoofficial,Juan Monaco,Athlete,0,168902,63,no
974,1.31E+11,JuliaMancusoUSA,Julia Mancuso,Athlete,0.01,371839,892,yes
4,1.14E+14,jumpman23,Jordan,Product/Service,0.04,9536226,108764,no
284,1.72E+14,Juventus,Juventus,Sports Team,0.23,35797598,470033,yes
158,1.09E+14,JWMarriottMarquisMiami,JW Marriott Marquis® Miami,Hotel,0.03,9820,261,no
735,2.01E+11,Kaka,Kaká,Athlete,0.01,31182715,33266,no
797,11373923372,KansasCityChiefs,The Kansas City Chiefs,Sports Club,0.24,1557890,154146,no
449,5.97E+14,KanterNBA,Enes Kanter,Athlete,0.09,161037,1442,no
1076,1.31E+14,KaraLawsonBarling,Kara Lawson,Athlete,0.01,27417,94,yes
264,5.48E+14,karenkoficial,Karen K.,Musician/Band,0.01,15437,18,yes
988,98341559908,kayyowcancerfund,Kay Yow Cancer Fund,Nonprofit Organization,0.04,8431,90,no
973,1.26E+14,KelleyOharaOfficial,Kelley O'Hara,Athlete,0,61705,67,yes
741,2.41E+11,kendricklamar,Kendrick Lamar,Musician/Band,0,8827039,9086,no
12,81781281654,KevinDurant,Kevin Durant,Athlete,0.01,10385211,4425,yes
496,1.57E+11,kia,Kia Motors America,Cars,0.16,1082359,4869,yes
168,3.00E+11,KiaEspana,KIA España,Cars,0.04,376272,2152,yes
161,3.63E+11,Kiamotorsworldwide,Kia Motors Worldwide,Cars,0.14,4301682,18709,yes
104,2.53E+14,KingCrab15,Michael Crabtree,Athlete,0.01,139407,65,yes
597,1.47E+14,kingpinmag,Kingpin Skateboarding,News & Media Website,0.07,462757,8922,yes
898,1.35E+11,Kirkmorrisonofficial,Kirk Morrison,Athlete,0.01,6528,60,yes
473,1.84E+14,KlayThompson,Klay Thompson,Athlete,0.04,2520302,19664,yes
98,1.19E+14,KMarshall12,Kendall Marshall,Athlete,0,168138,373,no
25,69025400418,Kobe,Kobe Bryant,Athlete,0.01,20774182,10659,no
1100,44158497872,KState,Kansas State University,College & University,0.06,154825,955,yes
847,85579369454,Kstatesports,K-State Sports,School Sports Team,0.2,146860,6525,yes
892,1.37E+14,kurt13warner,Kurt Warner,Athlete,0.02,271939,174,yes
521,3.58E+14,KyrieIrving,Kyrie Irving,Athlete,0,3144694,5495,yes
1045,40605971876,LAClippers,L.A. Clippers,Sports Team,0.05,3806260,5514,no
969,1.21E+14,LakeyPeterson,Lakey Peterson,Athlete,0,124949,100,yes
1009,5.58E+14,LaMarcusAldridge,LaMarcus Aldridge,Athlete,0,408277,160,yes
120,1.33E+14,LaMarrWoodley,LaMarr Woodley,Athlete,0.02,333042,4694,no
790,3.08E+14,LaMichaelJames,LaMichael James,Athlete,0,93432,20,yes
607,1.50E+15,lancemountain,Lance Mountain,Comedian,0.01,69687,48,yes
950,1.50E+11,landondonovan,Landon Donovan,Athlete,0.01,1069947,11398,yes
527,16325423351,LangLangPiano,Lang Lang - 郎朗,Musician/Band,0.03,496794,2745,yes
737,5863113009,latimes,Los Angeles Times,Media/News Company,0.89,2756816,97676,no
375,1.80E+11,LauraLynnChildrensHospice,LauraLynn – Ireland’s Children’s Hospice,Nonprofit Organization,0.02,34649,971,yes
253,48904400776,LaureusSportforGood,Laureus,Nonprofit Organization,0.11,850756,2711,yes
662,1.56E+14,lawsoffitness,Alexandra Laws,Athlete,0,2360,0,yes
16,64637653943,LeBron,LeBron James,Athlete,0.43,23215508,95409,yes
494,3.84E+14,LeBronJamesFamilyFoundation,LeBron James Family Foundation,Nonprofit Organization,0.02,305597,1018,no
221,44742838576,lennoxlewis,Lennox Lewis,Athlete,0.04,783313,1068,yes
723,3.48E+14,LeoManzanoTHELION,Leo Manzano,Athlete,0.04,22321,141,yes
193,1.76E+14,leomessi,Leo Messi,Athlete,0.01,89957459,680636,no
260,1.33E+14,LewisHamilton,Lewis Hamilton,Athlete,0.05,4133083,22395,no
183,3.27E+11,lightmaker,Lightmaker,Web Designer,0,3057,2,yes
978,1.17E+14,lina,Li Na,Athlete,0,299106,198,no
1016,9429409441,linaskleiza,Linas Kleiza,Athlete,0,137397,15,yes
557,67920382572,LiverpoolFC,Liverpool FC,Sports Team,0.41,32028430,631558,yes
687,6195089915,livestrong,LIVESTRONG,Nonprofit Organization,0.04,1524104,959,yes
281,2.36E+14,lojaoficialnjr,Loja Oficial Neymar Jr.,Shopping & Retail,0,235224,104,yes
742,1.45E+11,losangeleslakers,Los Angeles Lakers,Sports Team,0.17,21526493,489300,no
579,2.44E+14,lostartskateshop,Lost Art,Media/News Company,0.05,11435,95,yes
360,3.95E+14,LouisOosthuizenOfficial,Louis Oosthuizen,Athlete,0.01,34859,61,yes
31,4.37E+14,loutrition81,Loutrition,Education,0,2879,3,yes
857,1.09E+14,lsufootball,LSU Football,School Sports Team,0.29,1274061,47392,no
592,2.18E+14,luanoliveiraoficial,Luan Oliveira,Athlete,0.01,814157,723,no
263,1.68E+14,LuisSuarez9,Luis Suarez,Athlete,0.02,18849018,46198,no
404,9.57E+14,LukeDonald,Luke Donald,Athlete,0,93151,25,yes
228,1.54E+15,lukeshawofficial,Luke Shaw,Athlete,0.01,763397,12755,no
1033,1.92E+14,luoldeng,Luol Deng,Athlete,0.01,693622,990,yes
534,4.72E+14,LuxuryHeatingCo,Luxury Heating Company,Contractor,0,178,0,yes
926,2.84E+14,MaiconRoque,Maicon Roque,Athlete,0,174970,85,no
349,4.88E+14,MalbonGolf,Malbon Golf,Golf Instructor,0,445,27,yes
970,1.75E+14,maliamanuel,Malia Manuel,Athlete,0.01,111564,277,yes
247,7724542745,manchesterunited,Manchester United,Sports Team,0.46,73363814,909880,yes
235,1.31E+14,manchesterunitedfoundation,Manchester United Foundation,Nonprofit Organization,0.02,2709856,2514,no
14,1.41E+15,MannyPacquiao,Manny Pacquiao,Athlete,0.02,11878493,43862,yes
654,3.16E+14,Mannyslaysall,Manny Santiago,Athlete,0.03,444274,367,yes
1114,71769686933,ManuGinobili,Manu Ginobili,Athlete,0,1886893,804,no
159,3.86E+14,mapfreinsurance,MAPFRE Insurance,Insurance Company,0.02,1931181,2161,yes
996,1.38E+14,marcgasol,Marc Gasol,Athlete,0,497210,130,yes
181,1.42E+15,MarcusRashford,Marcus Rashford,Athlete,0.12,718082,9818,yes
1122,1.99E+14,MariaClaraECarolina,Maria Clara e Carolina,Athlete,0.01,9458,8,yes
956,1.60E+14,MarielZagunis,Mariel Zagunis,Athlete,0.01,19088,14,yes
667,66306130880,Markisaco,Markisa,Clothing (Brand),0.01,20012,8,yes
68,2.03E+14,MarkitDenim,MARKIT BMX,Clothing (Brand),0,43749,20,yes
382,20253701872,markronson,Mark Ronson,Musician/Band,0,546615,489,yes
398,1.51E+11,markwahlberg,Mark Wahlberg,Artist,0.03,17345963,36746,no
207,1.01E+11,MarouaneFellaini,Marouane Fellaini,Athlete,0,4329036,1634,no
403,1.39E+14,MartinKaymer,Martin Kaymer,Athlete,0.04,83502,1071,yes
745,18807449704,mashable,Mashable,Media/News Company,2.85,7330379,253437,no
1052,45624109537,MasonAthletics,George Mason Athletics,School Sports Team,0.03,12669,335,yes
249,1.26E+14,MastercardBrasil,Mastercard,Product/Service,0,16252075,5121,no
959,14712720914,MasterNinjaAry,Ary Nunez,Local Business,0.01,2772,3,yes
942,33213154365,MathieuValbuena28,Mathieu Valbuena,Athlete,0.02,1090462,3221,yes
914,1.21E+14,mattforte22,Matt Forte,Athlete,0.01,273971,546,no
273,4.98E+14,mawerneck,Marina Werneck,Athlete,0.04,54023,10337,no
549,2.80E+11,McDonaldsEgypt,McDonald's,Burger Restaurant,0.02,78707457,18461,yes
550,50245567013,McDonaldsUS,McDonald's,Burger Restaurant,0.01,78707457,38898,no
202,1.51E+14,memphisdepayofficial,Memphis Depay,Athlete,0.01,2916772,2252,no
1049,25577842733,memphistigers,Memphis Tigers,School Sports Team,0.17,204946,5947,yes
483,3.03E+11,MercitoGesta,"Mercito """"No Mercy"""" Gesta",Athlete,0.04,17264,146,yes
947,5.53E+14,mesutoezil,Mesut Özil,Athlete,0.01,31378318,89726,no
43,1.02E+14,MetroPCS,MetroPCS,Telecommunication Company,0.01,690318,5854,yes
801,87132269610,MiamiDolphins,Miami Dolphins,Sports Team,0.8,2277134,57665,no
559,2.84E+11,MiamiHeat,Miami Heat,Sports Team,0.05,15518783,58035,no
846,1.43E+14,miamihurricanes,Miami Hurricanes,School Sports Team,0.06,444357,7804,yes
185,3.18E+14,MichaelCarrick,Michael Carrick,Athlete,0,2815619,772,no
20,1.35E+11,michaeljfoxfoundation,The Michael J. Fox Foundation for Parkinson's Research,Charity Organization,0.08,910796,10334,yes
40,3.72E+14,michaelstrahan92,Michael Strahan,Public Figure,0.03,781866,2723,yes
390,1.16E+11,MichelleWie,Michelle Wie 위성미,Athlete,0,107275,57,no
44,82068114665,MicroTechBUZZ,MicroTech,Business Service,0.02,4596,5,yes
928,3.14E+14,miguelveloso4,Miguel Veloso,Athlete,0,559859,177,no
668,1.22E+14,Mikemo27,Mike Mo Capaldi,Athlete,0,819122,368,yes
200,1.44E+15,miketyson,Mike Tyson,Public Figure,0.01,7752489,19215,no
726,1.04E+11,MileSplit,MileSplit,Media/News Company,0.33,75630,8671,yes
808,64444137835,minnesotavikings,Minnesota Vikings,Sports Team,0.4,2180063,83091,no
137,1.47E+14,missionathlete,MISSIONAthlete,Product/Service,0.03,71232,64,yes
964,21241649603,mistymay,Misty May-Treanor,Athlete,0.01,654571,287,yes
1058,98768665441,mizzouathletics,Mizzou Athletics,School Sports Team,0.07,458856,1912,yes
843,3.00E+11,MizzouFootballShowMe,Mizzou Football,School Sports Team,0.21,121780,10863,no
96,5.68E+14,MKG14Official,Michael Kidd-Gilchrist,Athlete,0,194213,54,yes
698,5768707450,mlb,MLB,Sports League,0.53,7002745,277416,no
945,18472414007,MM.MarkoMarin,Marko Marin,Athlete,0,854440,261,yes
32,1.38E+14,mmaworldexpo,MMA World Expo,Martial Arts School,0,4913,3,yes
785,1.07E+14,MoClaiborne17,Morris  Claiborne,Athlete,0,7971,4,yes
714,1.20E+14,MoFarahGold,Mo Farah,Athlete,0.05,1139850,840,yes
309,7.92E+14,MoKanElite,MoKan Elite,Nonprofit Organization,0.01,368,0,yes
869,47383317748,MoneyLynch,Marshawn Lynch,Athlete,0.03,1265003,15898,no
582,52738364936,MonsterChildrenMagazine,Monster Children,Magazine,0.15,178227,451,yes
114,1.25E+14,montrosebasketball,Montrose Christian Basketball,School Sports Team,0,2056,2,yes
112,1.95E+14,MooreMaya,Maya Moore,Athlete,0.01,265086,213,yes
1059,53225933241,MoreheadStateUniversity,Morehead State University,College & University,0.14,39762,716,yes
560,75532137724,MoreThanAGameMovie,More Than a Game,Movie,0,194060,84,yes
710,1.80E+14,MosesMosop,Moses Mosop,Athlete,0,1036,1,yes
60,3.18E+14,motoracingonspeed,Moto Racing on SPEED,TV Show,0,103401,31,yes
611,1.55E+15,MountSinaiDBS,Mount Sinai Hospital Deep Brain Stimulation,Hospital,0.02,393,8,yes
972,2.45E+14,mPinoe,Megan Rapinoe,Athlete,0.02,326944,175,yes
275,2.57E+14,mspoficial,Mauricio de Sousa Produções,Business Service,0.01,158103,937,no
872,2.16E+11,MSUathletics,Michigan State Spartans,College & University,0.06,769281,6944,no
451,1.40E+14,MtCalvaryGensan,Mt Calvary Baptist Church,Baptist Church,0,2500,30,yes
163,1.88E+14,MubadalaWorldTennisChampionship,Mubadala World Tennis Championship,Sports & Recreation,0.01,24290,30,yes
243,29756652821,MuhammadAliVerified,Muhammad Ali,Athlete,0.01,11510384,7768,no
240,35370633792,mumfordandsons,Mumford and Sons,Musician/Band,0,5236150,86090,yes
50,16396989539,muscletech,MuscleTech,Health/Beauty,0.03,1744722,3324,yes
291,1.43E+15,MuseuCr7,Museu CR7,Art Gallery,0.01,225101,322,yes
261,2.80E+14,musicaoamortaai,O Amor Tá Aí,Musician/Band,0,20928,14,no
982,1.71E+14,MyMusicRx,MyMusicRx,Nonprofit Organization,0.03,3781,4,yes
339,34087138567,myOptum,Optum,Medical Company,0,27537,134,no
7,64822581025,Nadal,Rafa Nadal,Athlete,0.02,14549025,32458,no
271,1.68E+15,nadinegoncalvesinjr,Nadine Gonçalves,Public Figure,0,128948,64,no
1118,80793071818,NateRobinson,Nate Robinson,Athlete,0.07,1767012,4235,yes
333,48589510188,Nationals,Washington Nationals,Sports Team,0.26,693267,12114,no
116,8245623462,nba,NBA,Sports League,1.47,36639685,1217892,no
122,2.21E+11,NBA2K,NBA 2K,Games/Toys,0.03,6576426,25974,yes
324,1.51E+14,nbacares,NBA Cares,Sports League,0.02,185375,169,no
103,4.24E+11,NBAJAM,NBA JAM,Games/Toys,0,380026,129,yes
573,3.22E+14,NBALawson,Ty Lawson,Athlete,0,161904,26,no
336,40266450723,NBAONTNT,NBA on TNT,TV Channel,0.07,6110593,90550,no
335,36934781346,NBAStore,NBAStore.com,Sports League,0.02,376195,2019,no
314,61046571146,neffheadwear,Neff Headwear,Clothing (Brand),0.01,336441,184,yes
310,1.68E+15,neffwear,Neff Wear,Clothing (Brand),0,2035,1,yes
653,2.12E+14,NetworkA,Network A,Recreation & Sports Website,0.04,539854,3036,yes
842,88773848221,NevadaWolfPack,Nevada Wolf Pack,School Sports Team,0.08,85295,1194,no
822,42693447371,newenglandpatriots,New England Patriots,Sports Team,0.46,7048461,112756,no
796,1.21E+14,neworleanssaints,New Orleans Saints,Sports Team,0.52,3987880,134699,no
799,2.87E+11,newyorkgiants,New York Giants,Sports Team,0.43,3921232,94166,yes
9,1.48E+14,neymarjr,Neymar Jr.,Athlete,1.57,60828783,388309,yes
272,1.39E+15,NeymarPai,Neymar Silva Santos,Public Figure,0,190137,132,no
855,68680511262,NFL,NFL,Sports League,1.33,17202881,1073061,yes
764,1.77E+14,NFLFanStyle,NFL Fan Style,Company,0.01,613210,213,yes
784,3.70E+11,nflnetwork,NFL Network,TV Network,0.93,4180547,180889,no
787,1.16E+14,NFLPA,NFL Players Association,Sports League,0.01,75813,555,no
873,1.57E+14,NickFairleyFB,Nick Fairley,Athlete,0,20202,7,yes
1022,4.17E+14,NickSwagyPYoung,Nick Young,Athlete,0,604099,174,yes
641,5.88E+14,nicktucker,Nick Tucker,Athlete,0,268191,97,yes
528,1.65E+14,nicolecurtisrehabaddict,Nicole Curtis,Entrepreneur,0.09,1115218,2158,yes
91,1.02E+14,NigelSylvesterLive,Nigel Sylvester,Athlete,0.01,203103,1301,no
1,15087023444,nike,Nike,Sportswear Store,0,32164697,140594,no
23,1.56E+14,nikebaseball,Nike Baseball,Product/Service,0,965727,408,yes
29,5941596308,nikebasketball,Nike Basketball,Product/Service,0,8501545,11664,no
3,1.92E+14,NikeBMX,Nike BMX,Product/Service,0,2416068,829,yes
150,1.02E+16,nikecourt,NikeCourt,Product/Service,0.01,1248590,560,yes
27,51212153078,nikefootball,Nike Football,Product/Service,0,44452478,30111,no
1126,61646342824,nikefutbolmexico,Nike Fútbol,Product/Service,0,47115,341,no
283,1.68E+11,nikefutebol,Nike Futebol,Product/Service,0,1582040,2027,yes
22,96946928257,nikegolf,Nike Golf,Product/Service,0,1937660,721,no
18,80515456462,nikeid,NIKEiD,Product/Service,0,2478105,923,no
571,3.29E+14,nikeidjp,NIKEiD Japan,Product/Service,0.01,43126,68,yes
854,1.39E+14,NikeLacrosse,Nike Lacrosse,Outdoor & Sporting Goods Company,0,168477,49,yes
709,1.69E+14,NikeN7,Nike N7,Product/Service,0,61034,66,yes
963,1.96E+14,NikePortland,Nike,Footwear Store,0,10854,46,no
24,65604112975,nikerunning,Nike+ Run Club,Sports & Recreation Venue,0,17044558,10627,no
19,1.08E+14,NikeSkateboarding,Nike Skateboarding,Product/Service,0.02,9706399,4211,yes
30,20825389113,nikesportswear,Nike Sportswear,Product/Service,0,15263496,7994,no
1129,1.32E+14,nikesportswear.es,Nike Sportswear,Product/Service,0,15262806,319,yes
1125,1.53E+14,nikesportswear.it,Nike Sportswear,Product/Service,0,15262806,441,yes
1130,1.90E+14,NikeSportswearHK,Nike Sportswear Hong Kong,Product/Service,0.01,223143,155,yes
1128,1.74E+14,nikesportswearjp,Nike Sportswear Japan,Product/Service,0.01,268841,104,yes
1127,1.68E+14,NikesportswearTaiwan,Nike Sportswear Taiwan,Product/Service,0.02,454218,3802,no
731,1.43E+14,NikeTaiwan,Nike Taiwan,Product/Service,0.01,580932,4275,no
66,2.61E+14,NikeWake,Nike Wake,Product/Service,0,54849,17,yes
28,6261664682,nikewomen,NikeWomen,Product/Service,0,5520055,29554,yes
663,1.32E+11,nixon,Nixon,Product/Service,0.04,1256004,2674,no
274,3.43E+14,njrsiteoficial,Neymar Jr Site,Artist,0.04,417615,2316,no
256,6.40E+14,NNConsultoria1,N&N Consultoria,Arts & Entertainment,0.03,22297,123,yes
490,1.06E+11,nonitodonaire,Nonito Donaire Jr.,Athlete,0.01,403229,858,no
377,1.41E+15,northernirelandnationalteam,Northern Ireland National Team,Sports Team,0.08,122207,4243,no
204,10114144851,nspcc,NSPCC,Charity Organization,0.03,370570,9508,no
121,1.92E+11,OakHillBasketball,Oak Hill Academy Basketball,School Sports Team,0,13875,7,yes
1055,16479682578,oaklandu,Oakland University,College & University,0.05,44584,1098,yes
454,6.75E+14,OfficialAddisonRussell,Addison Russell,Athlete,0,29627,80,yes
1079,1.50E+11,OfficialCandiceDupree,Candice Dupree,Athlete,0,9824,14,no
1094,1.45E+14,officialcaronbutler,Caron Butler,Athlete,0.01,165077,283,yes
999,2.57E+14,OfficialChrisBosh,Chris Bosh,Athlete,0,2525738,1196,no
1035,1.08E+11,OfficialCJWatson,C.J. Watson,Athlete,0.01,198473,7883,yes
906,1.53E+14,officialconnorbarwin,Connor Barwin,Athlete,0.01,63569,216,yes
609,1.83E+14,officialerickoston,Eric Koston,Athlete,0,313807,168,yes
893,29672350944,officialhinesward,Hines Ward,Athlete,0.02,1651665,57630,no
304,1.53E+14,OfficialKatiaAveiro,Katia Aveiro,Performing Arts,0,192341,1010,no
909,2.04E+14,officialmarksanchez,Mark Sanchez,Athlete,0,247595,111,no
929,67123654596,OfficialMeireles,Raul Meireles,Athlete,0,2170244,847,no
105,1.80E+11,officialmikebibby,Mike Bibby,Athlete,0,19423,32,yes
830,1.43E+14,OfficialMikeVick,Mike Vick,Athlete,0.02,2520892,8260,no
439,1.75E+14,officialpiacayetano,Pia Cayetano,Government Official,0.07,439443,9054,no
36,4.56E+14,officialsolehub,SoleHub,Clothing Store,0,5794,2,yes
1031,4.34E+14,OfficialTajGibson,Taj Gibson,Athlete,0,235644,78,no
213,1.07E+14,OfficialTimCahill,Tim Cahill,Athlete,0.07,486038,1742,yes
541,32421823940,officialussoccer,U.S. Soccer,Sports Team,0.14,2966081,26903,no
841,2.70E+14,OhioStateUniversityFootball,Ohio State University Football,School Sports Team,0.04,748365,14042,no
331,1.60E+11,okcthunder,Oklahoma City Thunder,Sports Team,0.06,7169656,13715,no
750,2.00E+14,OklahomaFootball,Oklahoma Football,School Sports Team,0.11,594950,67337,no
672,99307042004,OklahomaSooners,Oklahoma Sooners,School Sports Team,0.05,661921,18337,yes
852,2.31E+14,okstatefootball,Oklahoma State Cowboy Football,School Sports Team,0.11,168652,9162,no
844,2.40E+14,OleMissFootball,Ole Miss Football,School Sports Team,0.24,169509,6779,yes
277,2.09E+11,olympics,Olympic,Sports League,0.13,19156871,529594,yes
599,2.24E+14,omarsalazarofficial,Omar Salazar,Athlete,0,151775,47,yes
422,90884717210,omega,OMEGA Watches,Jewelry/Watches,0.13,1586518,69297,yes
340,1.18E+14,omegaeuropeanmasters,Omega European Masters,Sports Event,0.12,6104,185,no
383,1.07E+11,omegagolfdubai,OMEGA Golf Dubai,Local Business,0.01,7222,7,no
1112,9162617150,Omri,Omri Casspi,Athlete,0,211932,132,yes
655,3.88E+14,onefelix,Felix Arguelles,Public Figure,0.03,23343,27,yes
219,8.27E+14,orafa2,Rafael da Silva,Athlete,0,887963,288,yes
315,1.04E+14,orangeleafyogurt,Orange Leaf Frozen Yogurt,Frozen Yogurt Shop,0.01,201748,166,yes
792,2.15E+14,OregonFootball,Oregon Football,School Sports Team,0.19,880534,21543,no
674,3.43E+11,OregonMensGolf,Oregon Men's Golf Team,School Sports Team,0.01,5564,99,no
358,1.00E+15,organickrush,organic krush,Smoothie & Juice Bar,0.01,2054,6,yes
1103,6711658857,osu,The Ohio State University,College & University,0.16,716186,27051,yes
840,62986931800,Pac12Conference,Pac-12 Conference,Sports League,0.28,277773,7718,no
823,71671905072,Packers,Green Bay Packers,Sports Team,0.53,5374081,100898,no
400,1.45E+14,Page.AdamScott,Adam Scott,Athlete,0.05,193968,141,yes
352,1.04E+14,paigereneespiranac,Paige Spiranac,Athlete,0.02,264613,6418,no
