text,id,lang,created_at,edit_history_tweet_ids,conversation_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username,datetime
"Where is your company on its path to enterprise AI adoption? 🤔

Take our 2-minute quiz to assess your company’s current state—and find out what you need to do to get ahead ➡️ https://t.co/beP18uUFsO https://t.co/DamfSwvoEC",1796215265631281389,en,2024-05-30T16:21:06.000Z,['1796215265631281389'],1796215265631281389,1,1,4,0,0,4141,,Grammarly,2024-05-30 16:21:06+00:00
"Attending the @Gartner_inc® Marketing Symposium/Xpo™ next week? 

Stop by Grammarly’s booth and join our session, “Brand Compliance at Scale—Safeguard the Customer Journey With AND From AI.” We hope to see you there! #GartnerMKTG",1795873397261611063,en,2024-05-29T17:42:38.000Z,['1795873397261611063'],1795873397261611063,2,0,5,0,1,3815,,Grammarly,2024-05-29 17:42:38+00:00
"Anyone else add already-done things to their to-do list to feel more accomplished, or?",1795866198086647865,en,2024-05-29T17:14:01.000Z,['1795866198086647865'],1795866198086647865,1,1,13,0,0,4709,,Grammarly,2024-05-29 17:14:01+00:00
"This graduation season, we’re celebrating our new partnership with @WGU! 🎓

Students and faculty at WGU will employ our AI-powered writing assistance and our new Writing Score API. @Campus_Tech shares more:
https://t.co/iPLk3M7KSx",1795472874137903169,en,2024-05-28T15:11:06.000Z,['1795472874137903169'],1795472874137903169,3,0,15,1,2,7329,,Grammarly,2024-05-28 15:11:06+00:00
Bring Your Kid to Work Day: Grammarly Edition 🎒 https://t.co/x9iugsOXmZ,1793691515710996770,en,2024-05-23T17:12:37.000Z,['1793691515710996770'],1793691515710996770,3,2,26,2,2,4690,,Grammarly,2024-05-23 17:12:37+00:00
"When teams spend more time communicating than a 40-hour workweek, businesses must find a better solution.

Learn how #genAI is giving teams time back to do work that matters—without sacrificing quality—in our report: https://t.co/09BAf6nQBW https://t.co/HY5iD2VRLR",1793334830546956593,en,2024-05-22T17:35:16.000Z,['1793334830546956593'],1793334830546956593,1,0,11,0,2,3791,,Grammarly,2024-05-22 17:35:16+00:00
Good emails prevent bad meetings.,1793325706761429002,en,2024-05-22T16:59:01.000Z,['1793325706761429002'],1793325706761429002,4,4,29,0,0,4142,,Grammarly,2024-05-22 16:59:01+00:00
"“To use AI safely and effectively, it’s essential to take responsibility for understanding and reducing these risks.”

Grammarly Engineering Manager Knar Hovakimyan discusses with @BuiltIn the importance of building a responsible AI culture. https://t.co/aUpFWYKYfF",1792600432264499284,en,2024-05-20T16:57:02.000Z,['1792600432264499284'],1792600432264499284,2,2,9,1,0,3691,,Grammarly,2024-05-20 16:57:02+00:00
"Missed deadlines, time and money wasted—the cost of “minor” miscommunications is major. 

See what’s stopping your team from communicating effectively and learn how to fix it. 👇 
https://t.co/zIsjJKkqZG",1792583580398301642,en,2024-05-20T15:50:04.000Z,['1792583580398301642'],1792583580398301642,0,1,8,0,2,3742,,Grammarly,2024-05-20 15:50:04+00:00
Brevity is the soul of wit—and good emails.,1791174025604981136,en,2024-05-16T18:29:00.000Z,['1791174025604981136'],1791174025604981136,3,2,22,0,3,4876,,Grammarly,2024-05-16 18:29:00+00:00
"Your trusted AI writing partner for both students and educators. 🤝

At @wharton, CIO Dan Alig champions Grammarly’s role in helping institutions prepare students with the tools they need to succeed in an AI-driven workplace.

Learn about our EDU offering: https://t.co/hsq98LLg4d https://t.co/3msqJ7E7o8",1790806673885433902,en,2024-05-15T18:09:17.000Z,['1790806673885433902'],1790806673885433902,2,0,10,1,0,3560,,Grammarly,2024-05-15 18:09:17+00:00
"PSA: Always add a deadline to your asks to get a faster response. ⏰

Better yet, use Grammarly’s newest feature, strategic suggestions, to help you include all the info you need to move your work forward: https://t.co/JWirCNxiEp https://t.co/60c0svIHzr",1790795048705048689,en,2024-05-15T17:23:05.000Z,['1790795048705048689'],1790795048705048689,2,1,9,0,1,3693,,Grammarly,2024-05-15 17:23:05+00:00
"TFW Grammarly is on the big screen at #GoogleIO 🤩

We’re excited to be a launch partner for Gemini Nano and help Android users unlock Grammarly’s AI-powered suggestions on the go! https://t.co/lMuIoSxVGy",1790504173496062206,en,2024-05-14T22:07:15.000Z,['1790504173496062206'],1790504173496062206,15,8,55,1,4,6760,,Grammarly,2024-05-14 22:07:15+00:00
"A single meeting can set the tone for the day. Keep it efficient and effective with these planning tips. 👇 
https://t.co/UrnBiY7cBt",1790046866756784510,en,2024-05-13T15:50:05.000Z,['1790046866756784510'],1790046866756784510,0,0,9,0,0,4520,,Grammarly,2024-05-13 15:50:05+00:00
It’s the end of the week and projects are wrapped—there’s no better feeling. 🙌 https://t.co/4K5IeH8yG4,1788988903485002123,en,2024-05-10T17:46:07.000Z,['1788988903485002123'],1788988903485002123,5,0,19,0,0,4464,,Grammarly,2024-05-10 17:46:07+00:00
"Over half of workers say they spend excessive time drafting or deciphering work messages and reported worrying about overload. 🫨

See how #genAI helps teams move work forward—together—in our 2024 State of Business Communication report: https://t.co/SyzmJl5Gx6 https://t.co/VUuhgOJkVt",1788683429225124066,en,2024-05-09T21:32:16.000Z,['1788683429225124066'],1788683429225124066,2,1,15,2,1,4269,,Grammarly,2024-05-09 21:32:16+00:00
"When you prioritize clarity in your writing, confusion won’t slow your work down. 🤝 
https://t.co/2tNjV3x5Y4",1788633538897600802,en,2024-05-09T18:14:01.000Z,['1788633538897600802'],1788633538897600802,2,0,7,0,4,4115,,Grammarly,2024-05-09 18:14:01+00:00
"When you sound confident in yourself, others will be confident in you, too. 🤝",1788249048140632067,en,2024-05-08T16:46:11.000Z,['1788249048140632067'],1788249048140632067,3,0,10,0,1,4172,,Grammarly,2024-05-08 16:46:11+00:00
"The first academic year with #generativeAI is wrapping up, and a LOT was learned! 🎓

Join us on May 14 with Dr. C. Edward Watson to get our AI action plan for summer planning so you can get ahead of the curve and build campus-wide AI literacy this fall semester. Register! 👇",1787958803952189468,en,2024-05-07T21:32:52.000Z,['1787958803952189468'],1787958803952189468,0,1,12,0,0,4779,,Grammarly,2024-05-07 21:32:52+00:00
No more counting words. Make the words count.,1787523474044399924,en,2024-05-06T16:43:01.000Z,['1787523474044399924'],1787523474044399924,10,2,42,1,0,7760,,Grammarly,2024-05-06 16:43:01+00:00
Back for Part 2 of asking our parents to describe what we do for a living. How would your parents do? https://t.co/celpZnfzPL,1786095690453483594,en,2024-05-02T18:09:31.000Z,['1786095690453483594'],1786095690453483594,5,0,23,2,1,5016,,Grammarly,2024-05-02 18:09:31+00:00
"A gentle reminder that you can only do your best at work when you prioritize your mental well-being. 💚

#MentalHealthAwarenessMonth https://t.co/tA9jMKBw5A",1785700039764869289,en,2024-05-01T15:57:20.000Z,['1785700039764869289'],1785700039764869289,6,6,23,1,0,5349,,Grammarly,2024-05-01 15:57:20+00:00
"Poor communication at work results in:

⏱️ Wasted time
😬 Strained relationships
🗣️ Damaged reputation 

We spoke with @TheAtlantic's creative studio, @atlanticrethink, about how #AI can help professionals communicate better and save businesses billions—when done responsibly.",1785338328629514671,en,2024-04-30T16:00:02.000Z,['1785338328629514671'],1785338328629514671,3,1,16,1,0,2638,,Grammarly,2024-04-30 16:00:02+00:00
"Our latest research shows that nearly 60% of workers wish their employers were more open to implementing #genAI to improve their day-to-day work. 💡 

It’s time for companies to tap into this potential with an enterprise-wide strategy. See how: https://t.co/SyzmJl5Gx6 https://t.co/6DRwzSp92G",1784963129157333167,en,2024-04-29T15:09:07.000Z,['1784963129157333167'],1784963129157333167,2,1,14,0,0,5207,,Grammarly,2024-04-29 15:09:07+00:00
Reducing back-and-forth and improving workflows make for a productive team. 🤝 https://t.co/0oQdnZuZ97,1783914047924015526,en,2024-04-26T17:40:27.000Z,['1783914047924015526'],1783914047924015526,1,1,17,0,1,4657,,Grammarly,2024-04-26 17:40:27+00:00
"Emails and docs and Slacks—oh my!

Our work life is consumed by communication, but a lot of it isn’t very effective.

Our new guide breaks down the fundamentals and shares actionable tips to up-level business communication across your entire org. 🤝⬇️ https://t.co/6gQ4UkIoLf",1783602914646471124,en,2024-04-25T21:04:07.000Z,['1783602914646471124'],1783602914646471124,2,0,8,0,1,4981,,Grammarly,2024-04-25 21:04:07+00:00
"If your life were a book, what would its title be? 📖 

#WorldBookDay",1782808411249188937,en,2024-04-23T16:27:02.000Z,['1782808411249188937'],1782808411249188937,4,4,17,2,0,6964,,Grammarly,2024-04-23 16:27:02+00:00
"Imagine having fewer back-and-forths with your boss by knowing all the details they need to say yes.

Speed up your work and communicate more effectively with strategic suggestions. 🚀",1782446379115171920,en,2024-04-22T16:28:27.000Z,['1782446379115171920'],1782446379115171920,3,0,17,0,0,6011,,Grammarly,2024-04-22 16:28:27+00:00
Turn one of your meetings today into an email instead—as a treat. ✨,1781002157539344530,en,2024-04-18T16:49:38.000Z,['1781002157539344530'],1781002157539344530,1,2,8,0,0,6150,,Grammarly,2024-04-18 16:49:38+00:00
"SPOTTED: Grammarly in the wild. 👀

If you find one of our billboards in SF, LA, NY, or Chicago, snap a pic and share it with us below! #EasierSaidDone https://t.co/OpGs3jqDWu",1780672017567748214,en,2024-04-17T18:57:46.000Z,['1780672017567748214'],1780672017567748214,3,0,23,0,0,6470,,Grammarly,2024-04-17 18:57:46+00:00
Communication overload costs workers time and well-being. 🫠 Discover how #GenAI is helping change how we work—for good: https://t.co/SyzmJl5Gx6 https://t.co/EijGwo8s0U,1779899067679519020,en,2024-04-15T15:46:21.000Z,['1779899067679519020'],1779899067679519020,1,0,11,1,2,6242,,Grammarly,2024-04-15 15:46:21+00:00
TFW your team’s in sync and you meet the end-of-week deadline. 🙌 https://t.co/djOIZFBx08,1778866975864754356,en,2024-04-12T19:25:11.000Z,['1778866975864754356'],1778866975864754356,2,1,21,0,2,7198,,Grammarly,2024-04-12 19:25:11+00:00
Our favorite coworkers always make sure we stay pawductive. 🐾 #NationalPetDay https://t.co/rZQhO6n3E3,1778453120420368866,en,2024-04-11T16:00:40.000Z,['1778453120420368866'],1778453120420368866,2,3,51,1,0,8315,,Grammarly,2024-04-11 16:00:40+00:00
Imagine if you could write at the speed of your thoughts—from idea to draft without delay. 💭 What would you do with the extra time? https://t.co/yxvg71VLW0,1778110723257708683,en,2024-04-10T17:20:06.000Z,['1778110723257708683'],1778110723257708683,3,2,24,0,0,6832,,Grammarly,2024-04-10 17:20:06+00:00
"Celebrating 15 remarkable years of Grammarly! ❇️

From creating the Grammarly Editor in our early days to becoming the trusted AI writing partner for 30M+ users and over 70,000 teams worldwide, we have a lot to celebrate and be grateful for. Here's to the next 15 and beyond! 🚀 https://t.co/Nmiywxlwl3",1777756670141010216,en,2024-04-09T17:53:13.000Z,['1777756670141010216'],1777756670141010216,1,7,42,4,1,9003,,Grammarly,2024-04-09 17:53:13+00:00
"If you’re new to the workplace 👉 ask a question.

If you’re experienced in the workplace 👇  leave advice.",1777359500481077637,en,2024-04-08T15:35:01.000Z,['1777359500481077637'],1777359500481077637,1,2,18,1,0,9250,,Grammarly,2024-04-08 15:35:01+00:00
"Maybe the real phantom menace is your team not showing up as fully aligned in every doc, report, or presentation. 😅 https://t.co/tk3rKHwL8K",1776303815836230040,en,2024-04-05T17:40:06.000Z,['1776303815836230040'],1776303815836230040,3,0,30,0,1,7110,,Grammarly,2024-04-05 17:40:06+00:00
"What was your last email sign-off, and why was it “Best”?",1776294228798124239,en,2024-04-05T17:02:00.000Z,['1776294228798124239'],1776294228798124239,0,4,25,1,0,8171,,Grammarly,2024-04-05 17:02:00+00:00
"Experiencing communication overload? You’re not alone. 🫂

But there’s a solution! 💡 Generative AI is transforming the way we work—for the better. Our new report has all the insights: https://t.co/SyzmJl5Gx6 https://t.co/PX9qFeOmsX",1775905230791606349,en,2024-04-04T15:16:16.000Z,['1775905230791606349'],1775905230791606349,0,2,13,0,1,8365,,Grammarly,2024-04-04 15:16:16+00:00
Calling home means explaining what you do for a living—again. 🫠 https://t.co/z9M4OyZqLy,1775571328059195578,en,2024-04-03T17:09:27.000Z,['1775571328059195578'],1775571328059195578,5,0,24,2,1,12998,,Grammarly,2024-04-03 17:09:27+00:00
New data alert! 🚨 Join our April webinars for valuable insights on #CX and #marketing communication trends—and learn how generative AI can help your team get ahead.,1775296253708112349,en,2024-04-02T22:56:24.000Z,['1775296253708112349'],1775296253708112349,1,0,10,0,0,9083,,Grammarly,2024-04-02 22:56:24+00:00
"🗓️ May your writing this month be:

A - Active
P - Polished
R - Relatable
I - Impactful
L - Legendary",1775167302306070564,en,2024-04-02T14:24:00.000Z,['1775167302306070564'],1775167302306070564,7,5,63,2,7,14493,,Grammarly,2024-04-02 14:24:00+00:00
"Boost your email game with an AI assist. 🚀

If you struggle with where to start, what to say, or how to structure your message, AI can help you save time and make your writing more impactful. https://t.co/h5tE50R8rI",1774911365989163221,en,2024-04-01T21:27:00.000Z,['1774911365989163221'],1774911365989163221,1,0,6,0,0,5449,,Grammarly,2024-04-01 21:27:00+00:00
Interrupting your scroll to say we’re here to help make Q2 you the best you. 🤝,1774823538777587768,en,2024-04-01T15:38:00.000Z,['1774823538777587768'],1774823538777587768,4,8,30,1,0,8472,,Grammarly,2024-04-01 15:38:00+00:00
Signing off all emails with “Yee-haw” today and nobody can stop us. 🤠,1773741749401264237,en,2024-03-29T15:59:22.000Z,['1773741749401264237'],1773741749401264237,3,2,36,0,1,6912,,Grammarly,2024-03-29 15:59:22+00:00
"Generative AI is helping professionals save time and companies save money. Are you embracing its potential? 🤔 

Learn how in our State of Business Communication report: https://t.co/sOidUbnM4H https://t.co/OWpruBsjYP",1773436256896131582,en,2024-03-28T19:45:27.000Z,['1773436256896131582'],1773436256896131582,3,1,14,0,1,4407,,Grammarly,2024-03-28 19:45:27+00:00
"Knowing what feedback you’ll receive before hitting send sounds like a magic trick. But there are no tricks here—just the power of our new strategic suggestions. ✨ 
https://t.co/CDGy4u6vIi",1773370969815400583,en,2024-03-28T15:26:01.000Z,['1773370969815400583'],1773370969815400583,0,0,8,1,0,4316,,Grammarly,2024-03-28 15:26:01+00:00
A meeting can only be an email if the email makes sense.,1773021164048113946,en,2024-03-27T16:16:01.000Z,['1773021164048113946'],1773021164048113946,6,4,38,2,4,7419,,Grammarly,2024-03-27 16:16:01+00:00
"Today's launch of strategic suggestions is the next step in our journey to help professionals drive impact through actionable, audience-aware writing. @FastCompany shares more. 👇 https://t.co/s2wy0iWJxv",1772759512409317679,en,2024-03-26T22:56:18.000Z,['1772759512409317679'],1772759512409317679,1,0,17,0,3,7339,,Grammarly,2024-03-26 22:56:18+00:00
"Mark as approved. ✔️

Our new strategic suggestions help make your writing focused and tailored to your audience so you can get the response you need to move work forward. ⏩

Learn more: https://t.co/msZtnedxWv https://t.co/uCBMxrYJfO",1772639800312373433,en,2024-03-26T15:00:37.000Z,['1772639800312373433'],1772639800312373433,13,0,28,2,1,6308,,Grammarly,2024-03-26 15:00:37+00:00
What helps you stay most productive at work?,1772297279614881916,en,2024-03-25T16:19:33.000Z,['1772297279614881916'],1772297279614881916,3,2,13,0,1,5277,,Grammarly,2024-03-25 16:19:33+00:00
"From brackets to final draft, Grammarly’s got you covered so you can slam-dunk your work before the buzzer. 🚨 #MarchMadness https://t.co/BBjfmhzqOF",1771218993635786861,en,2024-03-22T16:54:50.000Z,['1771218993635786861'],1771218993635786861,7,11,51,3,12,21661,,Grammarly,2024-03-22 16:54:50+00:00
What if you could go from “easier said” to “done” in a few clicks—not a few hours? https://t.co/YnEqD1DSoH,1770501849176527308,en,2024-03-20T17:25:09.000Z,['1770501849176527308'],1770501849176527308,2,5,24,0,1,6385,,Grammarly,2024-03-20 17:25:09+00:00
"Grammarly 🤝 AI innovation. We’re honored to be among @FastCompany’s Most Innovative Companies in AI for 2024! 🎉

This recognition reflects our work to build a future where companies and professionals win with AI-powered communication. #FCMostInnovative",1770089986353942941,en,2024-03-19T14:08:34.000Z,['1770089986353942941'],1770089986353942941,2,2,21,0,0,7238,,Grammarly,2024-03-19 14:08:34+00:00
"❌ Problem: Spring starts tomorrow, and you want to go out and embrace the beautiful weather but have 50 unread emails to get back to. 🙄

✅ Solution: Use Grammarly to quickly reply to emails and sign off a little early. (We won't tell. 🤫) https://t.co/yiTYPHL3NS",1769811285787512955,en,2024-03-18T19:41:06.000Z,['1769811285787512955'],1769811285787512955,1,2,16,0,0,11025,,Grammarly,2024-03-18 19:41:06+00:00
Good writing is more than just following the rules—it’s about making sure your message is understood. 💡 https://t.co/jf7Bf6WuX1,1768312668543205758,en,2024-03-14T16:26:08.000Z,['1768312668543205758'],1768312668543205758,2,4,28,1,3,9578,,Grammarly,2024-03-14 16:26:08+00:00
This is your midweek reminder to take the 8 half-empty cups on your desk to the kitchen. 👀,1767952264767910317,en,2024-03-13T16:34:01.000Z,['1767952264767910317'],1767952264767910317,2,4,20,0,1,5212,,Grammarly,2024-03-13 16:34:01+00:00
"From @googledrive to @Calendly to @hubspot, access all your favorite apps in just a few clicks without clicking away from your work. 🙌",1767597908495667620,en,2024-03-12T17:05:56.000Z,['1767597908495667620'],1767597908495667620,1,1,17,0,0,3737,,Grammarly,2024-03-12 17:05:56+00:00
Confident words = better results. 🤝 https://t.co/dBF2btlppK,1767301746387226897,en,2024-03-11T21:29:05.000Z,['1767301746387226897'],1767301746387226897,2,3,19,1,1,4448,,Grammarly,2024-03-11 21:29:05+00:00
How does using generative AI help you most at work? 💡,1767231973620387965,en,2024-03-11T16:51:50.000Z,['1767231973620387965'],1767231973620387965,2,2,8,0,0,3561,,Grammarly,2024-03-11 16:51:50+00:00
Caffeine now; consequences later. 🤷 https://t.co/SrRY0IBiTA,1766157208465629661,en,2024-03-08T17:41:06.000Z,['1766157208465629661'],1766157208465629661,1,4,14,0,1,3620,,Grammarly,2024-03-08 17:41:06+00:00
"Dive into our new 2024 State of Business Communication report to get the latest insights on:

 😳 Communication overload (and what to do about it)
 🚧 The roadblocks to maximizing productivity
 🦾 How gen AI is transforming work
https://t.co/ftfBGPxFZz",1765784558593540143,en,2024-03-07T17:00:20.000Z,['1765784558593540143'],1765784558593540143,0,0,7,0,0,2540,,Grammarly,2024-03-07 17:00:20+00:00
"Managing @Asana tasks with Grammarly is what we call better time management. 🤝

With app actions, creating a task takes just a few clicks, so you can move faster without losing focus.",1765427202504745390,en,2024-03-06T17:20:19.000Z,['1765427202504745390'],1765427202504745390,0,1,13,0,1,3153,,Grammarly,2024-03-06 17:20:19+00:00
"Don’t let your team’s day disappear. With Grammarly, teams can produce high-quality, on-brand writing in just a few clicks—not a few hours. 

Easier said. Done. ✅ https://t.co/BWS09LXgb9",1764682466202206362,en,2024-03-04T16:01:00.000Z,['1764682466202206362'],1764682466202206362,1,4,29,0,0,5018,,Grammarly,2024-03-04 16:01:00+00:00
You focus on the work. We’ll focus on the words. 🤝 https://t.co/hzKSQBIN2m,1763596081118540284,en,2024-03-01T16:04:06.000Z,['1763596081118540284'],1763596081118540284,6,4,32,2,1,4612,,Grammarly,2024-03-01 16:04:06+00:00
"As @Databricks scaled, it needed a solution to ensure on-brand communications globally. With Grammarly, it saw significant ROI:

📈 $1.4M saved annually in productivity
✅ 50% decrease in editing time in marketing
⏳ 25% improvement in time to resolution in customer support",1762888208147431825,en,2024-02-28T17:11:16.000Z,['1762888208147431825'],1762888208147431825,1,0,15,0,0,3133,,Grammarly,2024-02-28 17:11:16+00:00
"The average worker loses up to 4 hours a week switching between apps. 😱

Join us on March 5 to learn how experts from @asana, @calendly, @HubSpot, and Grammarly manage app overload and help their teams navigate the digital maze. Register below. 👇",1762526759700848959,en,2024-02-27T17:15:00.000Z,['1762526759700848959'],1762526759700848959,5,1,21,0,0,3427,,Grammarly,2024-02-27 17:15:00+00:00
Faster workflows and smoother communication? Now that's something we can align on. 🤝,1762193341251522797,en,2024-02-26T19:10:07.000Z,['1762193341251522797'],1762193341251522797,1,1,13,0,0,3685,,Grammarly,2024-02-26 19:10:07+00:00
"When the goal is to save time, a confusing message is a costly mistake. ⏳ https://t.co/pS8uJuMfpx",1760787068936974448,en,2024-02-22T22:02:05.000Z,['1760787068936974448'],1760787068936974448,1,2,10,0,1,3294,,Grammarly,2024-02-22 22:02:05+00:00
"The future of writing is with—not by—AI. 🤝 For higher education, that means creating a playbook that sets both students and faculty up for success.

Join our webinar on Feb. 28 to learn how institutions can embrace AI responsibly to best prepare students for the workplace. ⬇️",1760749383585550343,en,2024-02-22T19:32:20.000Z,['1760749383585550343'],1760749383585550343,2,1,15,0,2,3123,,Grammarly,2024-02-22 19:32:20+00:00
"🚨 New data just dropped in our 2024 State of Business Communication report, and we've rounded up the top insights in 90 seconds. ⏱️👇

Find out how generative AI is impacting communication, work satisfaction, and business results in the full report: https://t.co/SyzmJl5Gx6 https://t.co/WKfQacHgnn",1760379090232619464,en,2024-02-21T19:00:56.000Z,['1760379090232619464'],1760379090232619464,3,4,25,5,1,4095,,Grammarly,2024-02-21 19:00:56+00:00
"Grammarly’s 2024 Sales Kickoff is a wrap! 🎉

There were countless moments of inspiration and connection, and we’re feeling energized to move forward on our journey as the go-to trusted AI writing partner for teams. 🙌 https://t.co/rjxwn5N2Fy",1760069074569105449,en,2024-02-20T22:29:02.000Z,['1760069074569105449'],1760069074569105449,2,4,27,0,0,4590,,Grammarly,2024-02-20 22:29:02+00:00
"👀 Keep an eye out—our 2024 State of Business Communication report is nearly here!

We’re launching this year’s report with an early access webinar to share first takes on the new findings from industry experts. Register here: https://t.co/FxebPkLj62 https://t.co/i8OX6tgIfl",1759642899195830740,en,2024-02-19T18:15:34.000Z,['1759642899195830740'],1759642899195830740,2,1,21,0,0,3668,,Grammarly,2024-02-19 18:15:34+00:00
"TFW the love you have for your customers is mutual. 🫶 Grammarly is on @G2dotcom’s Best Software Awards 2024 list across the “AI Products,” “Global Software Companies,” and “Office Products” categories. 

Read what our customers have to say about us: https://t.co/paPX5MX2n9 https://t.co/9pt1MVERU3",1758542534135967834,en,2024-02-16T17:23:06.000Z,['1758542534135967834'],1758542534135967834,1,0,12,0,0,2804,,Grammarly,2024-02-16 17:23:06+00:00
"No more toggling between too many tabs. 😵‍💫

Stay in the flow with app actions, a new way to access all your favorite work tools—from @Asana to @Calendly to @GIPHY—directly from where you’re writing, so you can save time and get more done. ⏳🙌",1758156828360462568,en,2024-02-15T15:50:27.000Z,['1758156828360462568'],1758156828360462568,10,9,42,4,1,9018,,Grammarly,2024-02-15 15:50:27+00:00
"The 2024 State of Business Communication report is almost here! 📣

Join our webinar on Feb. 21 for exclusive early access and insights on how gen AI is transforming workplace communication. RSVP below. 👇",1757478452343845090,en,2024-02-13T18:54:50.000Z,['1757478452343845090'],1757478452343845090,4,0,8,1,0,3136,,Grammarly,2024-02-13 18:54:50+00:00
"Move work forward faster with our ""Shorten it"" feature. ⏩ https://t.co/86p1fHvHR5",1757120303946141886,en,2024-02-12T19:11:40.000Z,['1757120303946141886'],1757120303946141886,2,2,11,0,0,3190,,Grammarly,2024-02-12 19:11:40+00:00
"We treat every project like it’s The Big Game. 🏈 

#SuperBowl https://t.co/eVSMIF15Vb",1756005193727070462,en,2024-02-09T17:20:37.000Z,['1756005193727070462'],1756005193727070462,3,4,26,0,1,3498,,Grammarly,2024-02-09 17:20:37+00:00
"On-brand, all the time.

Jenna at @databricks uses Grammarly to ensure her team is always on the same page. ✨ https://t.co/Ic3lDeUOIH",1754550565051248697,en,2024-02-05T17:00:27.000Z,['1754550565051248697'],1754550565051248697,3,2,22,0,1,3473,,Grammarly,2024-02-05 17:00:27+00:00
Great writing gets work done. ✅ https://t.co/eVwFe9a5YK,1753448285212123479,en,2024-02-02T16:00:23.000Z,['1753448285212123479'],1753448285212123479,3,0,28,0,1,3409,,Grammarly,2024-02-02 16:00:23+00:00
Take a closer look at how we’re built for teams to succeed 👉 https://t.co/1i1Wud59OU,1753062681387356203,en,2024-02-01T14:28:08.000Z,['1753062681387356203'],1753062628711174651,1,0,15,0,0,4601,47191725,Grammarly,2024-02-01 14:28:08+00:00
"Less word count. More words that count.

Get work done faster with Grammarly as your trusted AI writing partner, and turn your ideas into results. 🙌 https://t.co/Hwe9uZ8o4H",1753062628711174651,en,2024-02-01T14:27:55.000Z,['1753062628711174651'],1753062628711174651,21,21,99,10,14,2736612,,Grammarly,2024-02-01 14:27:55+00:00
How something is said is just as important as what is said.,1752721166404407646,en,2024-01-31T15:51:04.000Z,['1752721166404407646'],1752721166404407646,7,3,34,3,0,8286,,Grammarly,2024-01-31 15:51:04+00:00
"Do you know the difference between a CV and a résumé?

Understand the purpose of each before applying to your next job. 👇 https://t.co/7KxBTj2w1n",1752331082622525523,en,2024-01-30T14:01:01.000Z,['1752331082622525523'],1752331082622525523,0,1,22,1,6,4029,,Grammarly,2024-01-30 14:01:01+00:00
"When it comes to tabs, there are only two types of people.",1752003174557159511,en,2024-01-29T16:18:02.000Z,['1752003174557159511'],1752003174557159511,4,2,17,1,2,3364,,Grammarly,2024-01-29 16:18:02+00:00
"Managers can proactively motivate their teams, creating a culture of productivity at work. Here’s how. 🙌 https://t.co/MUZCy7IIxw",1750925324890607784,en,2024-01-26T16:55:02.000Z,['1750925324890607784'],1750925324890607784,4,2,13,0,0,3624,,Grammarly,2024-01-26 16:55:02+00:00
"ICYMI, last week we launched our new voice features that help your writing stay true to . . . you. 😇

If you’re a Grammarly Business user, you can now drive more impact without sacrificing how you actually sound. https://t.co/V7jEtSuQv4",1750589124803797430,en,2024-01-25T18:39:06.000Z,['1750589124803797430'],1750589124803797430,1,1,12,1,2,3277,,Grammarly,2024-01-25 18:39:06+00:00
What's your biggest email pet peeve? 🫣,1750558901500608537,en,2024-01-25T16:39:00.000Z,['1750558901500608537'],1750558901500608537,1,9,9,0,0,5860,,Grammarly,2024-01-25 16:39:00+00:00
"5️⃣ ways to avoid miscommunication at work:

✍️ Put it in writing so readers can refer to it
❗ Be concise and include only essential information
👉 Format your work for easy reading
📊 Use photos or charts to help show, not just tell
❓ Ask clarifying questions",1749826849952215197,en,2024-01-23T16:10:05.000Z,['1749826849952215197'],1749826849952215197,2,1,14,1,1,3702,,Grammarly,2024-01-23 16:10:05+00:00
"You know what else is amazing? Saving more than 6,200 hours per year! 

Check out how @modmed boosted productivity across their organization 👉 https://t.co/YtikTPWwj9 https://t.co/G98kowXAuF",1749799168166813871,en,2024-01-23T14:20:06.000Z,['1749799168166813871'],1749799168166813871,1,1,9,0,1,3060,,Grammarly,2024-01-23 14:20:06+00:00
"When I write at work, I strive to be:",1749469966087102804,en,2024-01-22T16:31:58.000Z,['1749469966087102804'],1749469966087102804,0,3,4,0,0,3502,,Grammarly,2024-01-22 16:31:58+00:00
"How can institutions better embrace #genAI to help empower their students? 💻 

Learn from @Rasmussen University about its journey toward implementing this technology responsibly and why Grammarly is the university’s preferred tool. https://t.co/ayDuMSrpDw",1748387588044648846,en,2024-01-19T16:50:59.000Z,['1748387588044648846'],1748387588044648846,2,1,10,0,1,3088,,Grammarly,2024-01-19 16:50:59+00:00
"In 5 words or less, give us your best productivity tip. 👇",1748380047411417592,en,2024-01-19T16:21:01.000Z,['1748380047411417592'],1748380047411417592,0,13,11,1,0,5991,,Grammarly,2024-01-19 16:21:01+00:00
"AI is changing how we teach and will continue to do so for years to come. 🔮 

On January 24, we’ll talk to Dr. Leo Lo from @UNM to gain insights into how schools and institutions can develop AI literacy for all faculty, staff, and students. RSVP here 👉 https://t.co/jF2tujidO1 https://t.co/PN7GLKHjM3",1747666936983675023,en,2024-01-17T17:07:22.000Z,['1747666936983675023'],1747666936983675023,3,0,11,1,1,2988,,Grammarly,2024-01-17 17:07:22+00:00
