text,lang,conversation_id,edit_history_tweet_ids,created_at,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,article.title,in_reply_to_user_id,username
"This case decides if our system protects people or profits.

If you believe transparency matters. If you think faking studies is wrong. If you think cancer patients deserve their day in court…

Pay attention to this one. Case: Monsanto v. Durnell | Decision: June 2026",en,2013314984131149857,['2013314993446625774'],2026-01-19T18:17:54.000Z,2013314993446625774,2,5,31,0,4,3377,,18027434,drmarkhyman
"What’s happening next:

The Supreme Court will decide by June 2026: can corporations hide behind government approval even when people get sick?

Should companies that ghostwrite safety studies and face 181,000 cancer lawsuits be immune because the EPA said okay?

That's the",en,2013314984131149857,['2013314992033145309'],2026-01-19T18:17:54.000Z,2013314992033145309,1,1,14,0,0,3503,,18027434,drmarkhyman
"Why this matters for you:

This decision will set precedent for every pesticide case moving forward, determining whether accountability still exists.

The EPA reviews chemicals every 15 years using mostly company-funded research. If that's the only system and lawsuits disappear,",en,2013314984131149857,['2013314990460280891'],2026-01-19T18:17:53.000Z,2013314990460280891,1,3,12,0,0,341,,18027434,drmarkhyman
"What’s at stake?
If Bayer wins, companies get immunity as long as the EPA approved them—even if:

- Independent science shows harm
- They faked their safety studies
- People actually got cancer
- Juries found them guilty

Right now, you can sue if a product hurts you. This case",en,2013314984131149857,['2013314988841308551'],2026-01-19T18:17:53.000Z,2013314988841308551,1,1,12,0,0,398,,18027434,drmarkhyman
"The science it split:

The EPA says Roundup is safe.
The World Health Organization says it's ""probably carcinogenic.""

Why? Roundup's maker literally ghostwrote their own ""independent"" safety studies, then had scientists sign their names to them.

The EPA's approval process",en,2013314984131149857,['2013314987314552923'],2026-01-19T18:17:53.000Z,2013314987314552923,7,1,31,0,1,3047,,18027434,drmarkhyman
"Here’s the situation:

People who used Roundup weedkiller developed non-Hodgkin's lymphoma. They took the company to court. Juries sided with them, awarding billions in compensation, including one recent verdict of $2.1 billion.

But now, Bayer (who makes Roundup) is asking the",en,2013314984131149857,['2013314985657860217'],2026-01-19T18:17:52.000Z,2013314985657860217,6,2,20,1,3,3186,,18027434,drmarkhyman
"181,000 people are suing Roundup for cancer. Juries awarded them billions. Now, the Supreme Court might shut it all down.",en,2013314984131149857,['2013314984131149857'],2026-01-19T18:17:52.000Z,2013314984131149857,20,4,57,0,10,6813,,,drmarkhyman
"If you eat like crap, you’ll feel like crap. Your body is a complicated biochemical hormonal soup controlled mostly by what you eat; the information in food can literally upgrade or downgrade your biological software with every bite. 

Changing the way that you eat for the https://t.co/1H2gnk9Avu",en,2013229521021911225,['2013229521021911225'],2026-01-19T12:38:16.000Z,2013229521021911225,96,29,578,9,103,35168,,,drmarkhyman
"Send this to someone you’re on your health journey with. 

Every meal, every workout, every night’s sleep—it’s all building the future you. What you do now, in your 20s, 30s, and even 50s, shapes the health you’ll experience in the decades to come.

To understand why the choices https://t.co/nqsgRpkimg",en,2012926733142376704,['2012926733142376704'],2026-01-18T16:35:06.000Z,2012926733142376704,63,21,297,9,59,28177,,,drmarkhyman
The diet industry made $78 billion last year... Yet 95% of diets fail within 5 years. Make it make sense?,en,2012230014390170034,['2012230014390170034'],2026-01-16T18:26:35.000Z,2012230014390170034,7,16,79,0,6,8825,,,drmarkhyman
"A brand new Cochrane review of 73 studies involving nearly 5,000 people found that exercise may be as effective as antidepressants and psychological therapy for reducing symptoms of depression.

Adverse events from exercise were rare—while antidepressants commonly cause side",en,2011832283150631266,['2011832283150631266'],2026-01-15T16:06:08.000Z,2011832283150631266,52,51,264,9,54,159768,,,drmarkhyman
"Every supermarket is a battlefield for your health. They have psychologists. You need strategy.

Food Fix  Uncensored decodes every trick, trap, and manipulation tactic designed to fill your cart with disease.

Know the battlefield. Win the war. https://t.co/K5Ft8zhf7X",en,2011213466972115212,['2011213476656812107'],2026-01-13T23:07:14.000Z,2011213476656812107,0,0,23,0,3,3728,,18027434,drmarkhyman
"How to shop like you're in enemy territory:

- Shop the perimeter only—avoid center aisles
- Never shop hungry—eat before entering
- Use a list—no deviations
- Wear headphones—block manipulation music
- Set timer for 30 minutes—get out fast

Treat it like a mission, not a stroll.",en,2011213466972115212,['2011213475016741080'],2026-01-13T23:07:13.000Z,2011213475016741080,2,2,36,1,5,4288,,18027434,drmarkhyman
